"12/31/1899, 00:00:00",ug/m^3,ug/m^3,ug/m^3,ug/m^3
"01/01/1900, 00:00:00",####0.0,####0.0,###0.00,###0.00
"01/28/2023, 13:20:14",14.9,5.1,0.48,0.10
"01/28/2023, 13:35:14",25.1,8.9,0.49,0.10
"01/28/2023, 13:50:14",12.7,4.4,0.38,0.07
"01/28/2023, 14:05:15",11.1,4.5,0.34,0.07
"01/28/2023, 14:20:15",14.4,5.4,0.41,0.08
"01/28/2023, 14:35:15",11.4,4.4,0.34,0.06
"01/28/2023, 14:50:15",18.5,5.7,0.33,0.05
"01/28/2023, 15:05:16",18.2,6.2,0.32,0.05
"01/28/2023, 15:20:16",37.5,12.5,0.43,0.06
"01/28/2023, 15:35:16",15.3,5.6,0.32,0.05
"01/28/2023, 15:50:16",12.0,4.2,0.27,0.04
"01/28/2023, 16:05:16",21.9,6.6,0.32,0.05
"01/28/2023, 16:20:17",36.8,13.3,0.55,0.08
"01/28/2023, 16:35:17",24.8,9.2,0.43,0.06
"01/28/2023, 16:50:17",18.0,7.1,0.41,0.06
"01/28/2023, 17:05:17",16.2,6.5,0.34,0.05
"01/28/2023, 17:20:17",17.8,6.4,0.35,0.06
"01/28/2023, 17:35:18",26.0,9.7,0.43,0.06
"01/28/2023, 17:50:18",34.9,11.9,0.42,0.06
"01/28/2023, 18:05:18",24.6,8.9,0.47,0.07
"01/28/2023, 18:20:18",38.9,13.7,0.55,0.08
"01/28/2023, 18:35:18",32.4,12.1,0.59,0.09
"01/28/2023, 18:50:19",28.6,10.3,0.51,0.08
"01/28/2023, 19:05:19",43.1,15.8,0.74,0.11
"01/28/2023, 19:20:19",54.1,19.6,0.81,0.12
"01/28/2023, 19:35:19",47.2,16.9,0.81,0.12
"01/28/2023, 19:50:19",37.9,13.0,0.67,0.09
"01/28/2023, 20:05:20",64.7,22.8,1.16,0.30
"01/28/2023, 20:20:20",61.8,22.6,1.42,0.38
"01/28/2023, 20:35:20",83.0,28.7,2.33,0.62
"01/28/2023, 20:50:20",118.6,41.0,3.58,0.96
"01/28/2023, 21:05:20",116.6,41.7,2.39,0.54
"01/28/2023, 21:20:21",322.4,98.2,3.10,0.67
"01/28/2023, 21:35:21",286.7,84.2,2.72,0.52
"01/28/2023, 21:50:21",273.8,84.6,2.94,0.47
"01/28/2023, 22:05:21",138.1,46.2,2.46,0.45
"01/28/2023, 22:20:21",120.4,40.8,2.86,0.63
"01/28/2023, 22:35:22",170.4,59.6,6.02,1.62
"01/28/2023, 22:50:22",240.2,82.4,10.45,3.20
"01/28/2023, 23:05:22",230.4,84.5,8.75,2.41
"01/28/2023, 23:20:22",283.3,110.8,12.15,3.35
"01/28/2023, 23:35:22",281.5,110.8,10.01,2.56
"01/28/2023, 23:50:23",241.8,98.8,9.29,2.37
"01/29/2023, 00:05:23",210.3,91.2,9.02,2.27
"01/29/2023, 00:20:23",194.0,83.9,9.48,2.65
"01/29/2023, 00:35:23",226.6,89.8,9.12,2.53
"01/29/2023, 00:50:23",122.4,52.1,5.45,1.48
"01/29/2023, 01:05:31",82.4,34.4,2.59,0.59
"01/29/2023, 01:20:31",94.1,34.8,1.62,0.33
"01/29/2023, 01:35:32",123.3,42.8,1.62,0.30
"01/29/2023, 01:50:32",75.1,28.2,1.00,0.16
"01/29/2023, 02:05:32",58.6,20.8,0.78,0.13
"01/29/2023, 02:20:32",60.2,20.3,0.73,0.13
"01/29/2023, 02:35:32",61.7,21.7,0.78,0.15
"01/29/2023, 02:50:33",59.8,21.6,0.76,0.15
"01/29/2023, 03:04:33",70.8,24.4,0.82,0.15
"01/29/2023, 03:19:33",64.6,21.9,0.84,0.15
"01/29/2023, 03:34:33",66.8,22.6,0.75,0.14
"01/29/2023, 03:49:33",49.3,16.3,0.61,0.11
"01/29/2023, 04:04:34",49.7,17.5,0.58,0.11
"01/29/2023, 04:19:34",52.6,18.7,0.73,0.14
"01/29/2023, 04:34:34",65.8,21.2,0.72,0.14
"01/29/2023, 04:49:34",72.0,23.6,0.78,0.14
"01/29/2023, 05:04:34",71.6,23.9,0.67,0.13
"01/29/2023, 05:19:35",40.3,13.8,0.53,0.12
"01/29/2023, 05:34:35",50.6,16.2,0.56,0.12
"01/29/2023, 05:49:35",41.6,13.8,0.57,0.13
"01/29/2023, 06:04:35",48.1,16.2,0.61,0.14
"01/29/2023, 06:19:35",59.9,19.4,0.71,0.14
"01/29/2023, 06:34:36",60.0,20.4,0.68,0.14
"01/29/2023, 06:49:36",85.4,28.2,0.92,0.17
"01/29/2023, 07:04:36",116.0,39.0,1.24,0.21
"01/29/2023, 07:19:36",112.6,37.7,1.22,0.20
"01/29/2023, 07:34:36",68.6,23.8,0.97,0.18
"01/29/2023, 07:49:37",47.4,17.8,0.88,0.17
"01/29/2023, 08:04:37",43.5,17.1,0.81,0.15
"01/29/2023, 08:19:37",38.5,15.6,0.82,0.15
"01/29/2023, 08:34:37",34.4,12.6,0.78,0.16
"01/29/2023, 08:49:38",37.3,13.9,0.75,0.15
"01/29/2023, 09:04:38",34.5,12.7,0.75,0.15
"01/29/2023, 09:19:38",23.9,10.5,0.73,0.14
"01/29/2023, 09:34:38",22.8,9.7,0.69,0.14
"01/29/2023, 09:49:38",26.9,12.0,0.83,0.17
"01/29/2023, 10:04:39",32.4,13.6,1.22,0.23
"01/29/2023, 10:19:39",43.8,18.5,1.21,0.23
"01/29/2023, 10:34:39",63.8,24.1,1.21,0.21
"01/29/2023, 10:49:39",32.8,16.5,1.08,0.20
"01/29/2023, 11:04:39",44.1,19.7,1.28,0.24
"01/29/2023, 11:19:40",77.9,29.3,1.32,0.23
"01/29/2023, 11:34:40",50.5,20.5,1.35,0.24
"01/29/2023, 11:49:40",50.3,21.7,1.28,0.23
"01/29/2023, 12:04:40",68.2,25.6,1.30,0.23
"01/29/2023, 12:19:40",49.1,19.7,1.22,0.22
"01/29/2023, 12:34:41",52.5,21.7,1.28,0.24
"01/29/2023, 12:49:41",48.7,19.9,1.34,0.26
"01/29/2023, 13:04:41",49.2,18.9,1.33,0.25
"01/29/2023, 13:19:41",51.0,21.5,1.24,0.23
"01/29/2023, 13:34:41",52.5,21.5,1.28,0.23
"01/29/2023, 13:49:42",60.1,23.2,1.25,0.22
"01/29/2023, 14:04:42",45.7,20.5,1.46,0.29
"01/29/2023, 14:19:42",74.6,28.9,2.42,0.57
"01/29/2023, 14:34:42",72.7,28.9,2.10,0.49
"01/29/2023, 14:49:42",74.8,31.5,1.93,0.40
"01/29/2023, 15:04:43",61.8,25.2,1.50,0.31
"01/29/2023, 15:19:43",65.6,28.6,1.98,0.40
"01/29/2023, 15:34:43",70.1,27.1,1.58,0.31
"01/29/2023, 15:49:43",82.2,31.9,1.79,0.36
"01/29/2023, 16:04:43",67.1,30.5,1.96,0.36
"01/29/2023, 16:19:44",56.3,23.3,1.35,0.28
"01/29/2023, 16:34:44",65.9,25.3,1.28,0.26
"01/29/2023, 16:49:44",66.4,25.0,1.20,0.24
"01/29/2023, 17:04:44",62.1,24.9,1.18,0.24
"01/29/2023, 17:19:44",64.3,25.3,1.28,0.25
"01/29/2023, 17:34:45",82.7,31.6,1.44,0.26
"01/29/2023, 17:49:45",61.0,24.0,1.22,0.22
"01/29/2023, 18:04:45",56.7,23.1,1.24,0.23
"01/29/2023, 18:19:45",68.2,27.5,1.32,0.25
"01/29/2023, 18:34:45",67.0,27.7,1.44,0.26
"01/29/2023, 18:49:46",61.5,26.4,1.31,0.25
"01/29/2023, 19:04:46",83.0,31.9,1.40,0.26
"01/29/2023, 19:19:46",70.6,28.8,1.49,0.28
"01/29/2023, 19:34:46",74.5,28.5,1.51,0.32
"01/29/2023, 19:49:46",57.3,22.7,1.29,0.25
"01/29/2023, 20:04:47",54.7,22.0,1.42,0.31
"01/29/2023, 20:19:47",72.6,27.8,1.51,0.31
"01/29/2023, 20:34:47",61.3,25.2,1.38,0.27
"01/29/2023, 20:49:47",53.6,22.4,1.38,0.27
"01/29/2023, 21:04:48",49.3,19.7,1.32,0.27
"01/29/2023, 21:19:48",68.8,26.1,1.36,0.27
"01/29/2023, 21:34:48",80.1,29.8,1.34,0.27
"01/29/2023, 21:49:48",103.1,35.1,1.75,0.35
"01/29/2023, 22:04:48",68.8,24.8,1.48,0.33
"01/29/2023, 22:19:49",55.9,21.1,1.33,0.31
"01/29/2023, 22:34:49",54.8,21.8,2.32,0.65
"01/29/2023, 22:49:49",52.8,20.8,1.69,0.43
"01/29/2023, 23:04:49",50.3,19.9,1.55,0.38
"01/29/2023, 23:19:49",45.4,17.3,1.24,0.30
"01/29/2023, 23:34:50",36.0,15.7,1.14,0.26
"01/29/2023, 23:49:50",34.2,13.8,0.97,0.22
"01/30/2023, 00:04:50",46.0,17.2,0.92,0.20
"01/30/2023, 00:19:50",41.5,16.0,0.89,0.21
"01/30/2023, 00:34:50",46.0,17.2,0.91,0.19
"01/30/2023, 00:49:51",65.0,23.0,1.03,0.22
"01/30/2023, 01:04:51",69.4,24.1,1.13,0.24
"01/30/2023, 01:19:51",54.0,20.5,0.97,0.21
"01/30/2023, 01:34:51",52.2,18.9,1.37,0.31
"01/30/2023, 01:49:51",48.1,16.2,1.11,0.24
"01/30/2023, 02:04:52",62.7,23.1,1.06,0.24
"01/30/2023, 02:19:52",61.2,20.6,0.97,0.24
"01/30/2023, 02:34:52",56.7,21.7,1.07,0.23
"01/30/2023, 02:49:52",63.7,23.3,1.25,0.29
"01/30/2023, 03:04:52",64.6,24.9,1.35,0.31
"01/30/2023, 03:19:53",36.1,14.6,1.00,0.26
"01/30/2023, 03:34:53",42.3,16.1,1.04,0.28
"01/30/2023, 03:49:53",43.1,17.1,1.03,0.27
"01/30/2023, 04:04:53",41.7,17.3,1.19,0.30
"01/30/2023, 04:19:53",64.7,25.7,1.22,0.30
"01/30/2023, 04:34:54",50.8,19.9,1.17,0.30
"01/30/2023, 04:49:54",45.2,19.1,1.22,0.34
"01/30/2023, 05:04:54",46.1,19.0,0.99,0.26
"01/30/2023, 05:19:54",48.8,18.6,1.01,0.25
"01/30/2023, 05:34:54",51.0,18.6,1.05,0.26
"01/30/2023, 05:49:55",59.1,22.4,1.12,0.28
"01/30/2023, 06:04:55",61.3,23.8,1.12,0.27
"01/30/2023, 06:19:55",61.1,25.4,1.37,0.33
"01/30/2023, 06:34:55",55.7,22.2,1.39,0.36
"01/30/2023, 06:49:55",61.2,25.5,1.61,0.40
"01/30/2023, 07:04:56",105.4,36.8,2.01,0.46
"01/30/2023, 07:19:56",249.8,125.9,13.32,2.34
"01/30/2023, 07:34:56",184.7,78.1,6.79,1.20
"01/30/2023, 07:49:56",100.7,36.4,1.94,0.38
"01/30/2023, 08:04:56",97.4,43.8,4.03,0.65
"01/30/2023, 08:19:57",125.6,51.5,4.00,0.61
"01/30/2023, 08:34:57",124.0,55.1,5.55,0.87
"01/30/2023, 08:49:57",65.2,26.0,1.44,0.24
"01/30/2023, 09:04:57",63.3,24.8,1.35,0.23
"01/30/2023, 09:19:58",62.1,25.2,1.31,0.21
"01/30/2023, 09:34:58",52.6,21.3,1.24,0.20
"01/30/2023, 09:49:58",48.2,21.6,1.39,0.22
"01/30/2023, 10:04:58",60.7,22.9,1.40,0.22
"01/30/2023, 10:19:58",62.1,27.0,2.45,0.45
"01/30/2023, 10:34:59",58.3,22.7,1.49,0.23
"01/30/2023, 10:49:59",110.5,55.0,3.97,0.59
"01/30/2023, 11:04:59",177.2,101.9,3.42,0.46
"01/30/2023, 11:19:59",50.2,20.0,1.31,0.18
"01/30/2023, 11:34:59",44.5,18.3,1.12,0.15
"01/30/2023, 11:50:00",63.9,26.1,1.29,0.17
"01/30/2023, 12:05:00",48.9,22.2,1.21,0.16
"01/30/2023, 12:20:00",67.6,28.2,1.38,0.18
"01/30/2023, 12:35:00",66.6,26.6,1.26,0.17
"01/30/2023, 12:50:00",78.6,29.9,1.33,0.18
"01/30/2023, 13:05:01",66.4,25.6,1.28,0.18
"01/30/2023, 13:20:01",67.2,26.2,1.30,0.18
"01/30/2023, 13:35:01",50.7,21.6,1.26,0.17
"01/30/2023, 13:50:01",43.6,19.5,1.18,0.17
"01/30/2023, 14:05:01",38.4,16.9,1.12,0.16
"01/30/2023, 14:20:02",48.2,20.7,1.26,0.21
"01/30/2023, 14:35:02",50.0,20.6,1.18,0.17
"01/30/2023, 14:50:02",44.5,19.8,1.14,0.16
"01/30/2023, 15:05:02",53.7,21.6,1.13,0.15
"01/30/2023, 15:20:02",64.0,23.9,1.14,0.16
"01/30/2023, 15:35:03",62.5,23.8,1.20,0.17
"01/30/2023, 15:50:03",52.6,21.6,1.14,0.16
